meter_id,feeder_zone,area_name,timestamp,consumption_kwh
MTR_0001,Zone_1,Rajajinagar,2026-04-01 00:00:00,0.086
MTR_0001,Zone_1,Rajajinagar,2026-04-01 01:00:00,0.15
MTR_0001,Zone_1,Rajajinagar,2026-04-01 02:00:00,0.149
MTR_0001,Zone_1,Rajajinagar,2026-04-01 03:00:00,0.182
MTR_0001,Zone_1,Rajajinagar,2026-04-01 04:00:00,0.11
MTR_0001,Zone_1,Rajajinagar,2026-04-01 05:00:00,0.112
MTR_0001,Zone_1,Rajajinagar,2026-04-01 06:00:00,0.352
MTR_0001,Zone_1,Rajajinagar,2026-04-01 07:00:00,0.336
MTR_0001,Zone_1,Rajajinagar,2026-04-01 08:00:00,0.259
MTR_0001,Zone_1,Rajajinagar,2026-04-01 09:00:00,0.421
MTR_0001,Zone_1,Rajajinagar,2026-04-01 10:00:00,0.294
MTR_0001,Zone_1,Rajajinagar,2026-04-01 11:00:00,0.188
MTR_0001,Zone_1,Rajajinagar,2026-04-01 12:00:00,0.237
MTR_0001,Zone_1,Rajajinagar,2026-04-01 13:00:00,0.223
MTR_0001,Zone_1,Rajajinagar,2026-04-01 14:00:00,0.225
MTR_0001,Zone_1,Rajajinagar,2026-04-01 15:00:00,0.16
MTR_0001,Zone_1,Rajajinagar,2026-04-01 16:00:00,0.228
MTR_0001,Zone_1,Rajajinagar,2026-04-01 17:00:00,0.284
MTR_0001,Zone_1,Rajajinagar,2026-04-01 18:00:00,0.554
MTR_0001,Zone_1,Rajajinagar,2026-04-01 19:00:00,0.456
MTR_0001,Zone_1,Rajajinagar,2026-04-01 20:00:00,0.443
MTR_0001,Zone_1,Rajajinagar,2026-04-01 21:00:00,0.415
MTR_0001,Zone_1,Rajajinagar,2026-04-01 22:00:00,0.411
MTR_0001,Zone_1,Rajajinagar,2026-04-01 23:00:00,0.3
MTR_0001,Zone_1,Rajajinagar,2026-04-02 00:00:00,0.149
MTR_0001,Zone_1,Rajajinagar,2026-04-02 01:00:00,0.107
MTR_0001,Zone_1,Rajajinagar,2026-04-02 02:00:00,0.09
MTR_0001,Zone_1,Rajajinagar,2026-04-02 03:00:00,0.129
MTR_0001,Zone_1,Rajajinagar,2026-04-02 04:00:00,0.112
MTR_0001,Zone_1,Rajajinagar,2026-04-02 05:00:00,0.136
MTR_0001,Zone_1,Rajajinagar,2026-04-02 06:00:00,0.367
MTR_0001,Zone_1,Rajajinagar,2026-04-02 07:00:00,0.395
MTR_0001,Zone_1,Rajajinagar,2026-04-02 08:00:00,0.32
MTR_0001,Zone_1,Rajajinagar,2026-04-02 09:00:00,0.427
MTR_0001,Zone_1,Rajajinagar,2026-04-02 10:00:00,0.383
MTR_0001,Zone_1,Rajajinagar,2026-04-02 11:00:00,0.311
MTR_0001,Zone_1,Rajajinagar,2026-04-02 12:00:00,0.267
MTR_0001,Zone_1,Rajajinagar,2026-04-02 13:00:00,0.297
MTR_0001,Zone_1,Rajajinagar,2026-04-02 14:00:00,0.211
MTR_0001,Zone_1,Rajajinagar,2026-04-02 15:00:00,0.185
MTR_0001,Zone_1,Rajajinagar,2026-04-02 16:00:00,0.292
